locality_id,locality_name,name_occurrence,official_placename,has_macron
496,Hanmer Forest Park,suburb_4th_order,Hanmer Conservation Park,F
1059,North West Bay,suburb_4th_order,North-west Bay,F
1922,Whangaehu Valley,suburb_4th_order,Whangaehu,F
2142,Catlins Forest Park,suburb_4th_order,Catlins Conservation Park,F
2179,Kaimai-Mamaku Forest Park,suburb_4th_order,Kaimai Mamaku Conservation Park,F
2195,Lake Roxburgh Village,suburb_4th_order,Lake Roxburgh,F
2235,Raukumara Forest Park,suburb_4th_order,Raukumara Conservation Park,F
2328,Aoraki Mount Cook National Park,suburb_4th_order,Aoraki/Mount Cook National Park,F
2366,Mount Richmond Forest Park,suburb_4th_order,Mt Richmond Forest Park,F
2509,Westland National Park,suburb_4th_order,Westland National Park/Tai Poutini National Park,F
2755,Bethells Beach,suburb_4th_order,Te Henga (Bethells Beach),F
3081,Kelland Pond,suburb_4th_order,Kellands Pond,F
3108,Lake Astelia,suburb_4th_order,Astelia Lake,F
3121,Lake Bloxham,suburb_4th_order,Bloxham Lake,F
3150,Lake Colenso (Kokopunui),suburb_4th_order,Colenso Lake,F
3187,Lake Eyles,suburb_4th_order,Eyles Lake,F
3350,Lake Mavis,suburb_4th_order,Mavis Lake,F
3372,Lake Monk,suburb_4th_order,Monk Lake,F
3373,Lake Monowai,suburb_4th_order,Monowai Lake,F
3386,Lake Nerine,suburb_4th_order,Nerine Lake,F
3467,Lake Pukutahi,suburb_4th_order,Pukutahi Lake,F
3488,Lake Rotoatua,suburb_4th_order,Rotoatua,F
3528,Lake Rotoroa,suburb_4th_order,Lake Rotoroa (Hamilton Lake),F
3529,Lake Rotoroa,suburb_4th_order,Lake Rotoroa (Hamilton Lake),F
3530,Lake Rotoroa,suburb_4th_order,Lake Rotoroa (Hamilton Lake),F
3531,Lake Rotoroa,suburb_4th_order,Lake Rotoroa (Hamilton Lake),F
3532,Lake Rotoroa,suburb_4th_order,Lake Rotoroa (Hamilton Lake),F
3533,Lake Rotoroa,suburb_4th_order,Lake Rotoroa (Hamilton Lake),F
3559,Lake Shirley,suburb_4th_order,Shirley Lake,F
3579,Lake Tamaharau,suburb_4th_order,Taumaharau Lake,F
3613,Lake Victor,suburb_4th_order,Victor Lake,F
3619,Lake Wade,suburb_4th_order,Wade Lake,F
3620,Lake Wahakari,suburb_4th_order,Wahakari Lake,F
3648,Lake Welcome,suburb_4th_order,Welcome Lake,F
3821,Tokomaru No3 Reservoir,suburb_4th_order,Tokomaru No. 3 Reservoir,F
4159,Mercury Islands (Iles D'haussez),suburb_3rd_order,Mercury Islands,F
4163,Te Motu o Kura / Bare Island,suburb_4th_order,Te Motu-o-Kura / Bare Island,F
4189,Mahenotapuku (Bird Rock),suburb_4th_order,Mahenotapuku,F
4238,Mercury Islands (Iles D'haussez),suburb_3rd_order,Mercury Islands,F
4242,Raratoka Island (Centre Island),suburb_4th_order,Rarotoka Island,F
4252,Codfish Island (Whenuahou),suburb_4th_order,Codfish Island / Whenua Hou,F
4280,Mercury Islands (Iles D'haussez),suburb_3rd_order,Mercury Islands,F
4332,Mercury Islands (Iles D'haussez),suburb_3rd_order,Mercury Islands,F
4334,Mercury Islands (Iles D'haussez),suburb_3rd_order,Mercury Islands,F
