id,name
15164,Ahikōuka
15189,Ahitītī
55599,Ahu-a-Tūranga Stream
15236,Akakāhia Stream
55703,Akatārere
55712,Akatārere Historic Reserve
58634,Ākiri
15253,Ākitio
15254,Ākitio River
15255,Ākura
15374,Āmia Stream
7527,Āniwaniwa Falls
57724,Ao ata te pō
15543,Āpiti
15544,Āpiti
139,Āpiti Saddle
56589,Ārai Terraces
58484,Āria
207,Ātaahua Gorge
15818,Ātiamuri
216,Ātiu or Middle Island
58524,Auahitōtara Kāinga
55574,Auahitōtara Pā
55025,Aupōuri Forest
7302,Avon River/Ōtakaro
15889,Awahōhonu Creek
55026,Awahōhonu Forest
58810,Awapākura
16025,Āwhitu
16026,Āwhitu Central
7518,Baring Head/Ōrua-pouanui
16282,Bay of Many Coves / Miritū Bay
513,Blumine Island / Ōruawairua
7738,Burwood (Takahē Rearing Site) Scientific Reserve
58399,Calypso Bay / Ōtamarau Bay
58025,Cape Kidnappers / Te Kauwae-a-Māui
7310,Colac Bay/Ōraka
7309,Colac Bay/Ōraka
14210,East Ngātoro Knoll
20163,East Tākaka
20164,East Tāmaki
20165,East Tāmaki Heights
20167,East Wānaka Creek
20249,Eketāhuna
7320,Franz Josef Glacier/Kā Roimata o Hine Hukatere
7322,Gillespies Point/Kōhaihai
7326,Grey River/Māwheranui
22092,Hāmama
22122,Hāmua
3726,Hamutīnui
22126,Hamutīnui Stream
22165,Hāparangi
22163,Hāpara Stream
58756,Hapopo kākāpō
22197,Hāpuatuna Bay
22200,Hāpuka Island
22202,Hāpuka Rock
22204,Hāpuku Reef
22205,Hāpuku River
1899,Hātea River
54635,Haukōpua Point
56646,Haukōpuapua Scenic Reserve
55031,Haupātōtō Bush
22384,Haupōuri Stream
22385,Haupōuri Stream
22383,Haupōuri Stream
54538,Hauraki Gulf / Tīkapa Moana
58045,Hāwea / Bligh Sound
10090,Hāwea Conservation Park
1917,Hāwea Flat
1918,Hāwea Island
1920,Hāwea River
14473,Hāwea Rock
22449,Hāwera
22448,Hāwera
22447,Hāwera
22450,Hāwera
22452,Hāwera Stream
22451,Hāwera Stream
14475,Hāwini Rocks
1978,Herekōpare Island / Te Marama
22726,Hīkoekoeā Bay
22757,Hikutāmomimomi Stream
59403,Hikutū Rock
22791,Hīnakitaka Stream
22796,Hīnau Flats
54616,Hinemoatū / Howard River
55531,Hinetāpeka Seamount
58728,Hinewaikārara
58612,Hinewaikārara
22834,Hiruhārama
22837,Hītaua Bay
22841,Hīwera
54944,Hōhonu Forest
22910,Hōkurī Creek
7337,Hollyford River/Whakatipu Kā Tuka
14495,Hōngaio Rock
23050,Horahora Kākahu Island
23150,Hōteo River
54946,Hōuto Forest
7201,Hue tē Taka Peninsula
23295,Hūkerenui
2177,Inainatū / Pile Bay
23528,Inland Kaikōura Range
58829,Kā Ara-a-Haereroa
23972,Kahikatea Pā
58838,Kāhuikākāpō
58770,Kāhuikākāpō
23992,Kāhuitara
54407,Kahukurī
2310,Kahurānaki
58425,Kahurānaki
57694,Kā Huruhuru o koekoeā
24049,Kaiāwhā Stream
54948,Kaihū Forest
24069,Kaihū River
54408,Kaikai Pā
7342,Kaikaitāhuna Bay
54532,Kaikaitāhuna Stream
55485,Kaikākā
7343,Kaikākahi Bay
58742,Kaikākāpō
58741,Kaikākāpō
58743,Kaikākāpō
24118,Kaikōura
24119,Kaikōura
2331,Kaikōura Bay
14516,Kaikōura Canyon
24121,Kaikōura Creek
24122,Kaikōura Island / Selwyn Island
24123,Kaikōura Peninsula
2332,Kaikōura Railway Station
24124,Kaikōura Stream
24128,Kaikūmera Bay
24172,Kaipākirikiri Bay
24173,Kaipākirikiri Point
24205,Kaipō Stream
58722,Kairākau
56592,Kairūri Peak
24368,Kākā
24371,Kākā Creek
24374,Kākā Hill
24385,Kākaho Bay
24386,Kākaho Point
55021,Kākahu Forest
24396,Kākahu Stream
24375,Kākā Island
24399,Kākānui
24413,Kākānui Stream
24414,Kākānui Stream
24412,Kākānui Stream
56593,Kākā Nunatak
24418,Kākāpō Bay
56594,Kākāpō Nunatak
24422,Kākāpō Peak
24425,Kākāpō River
24426,Kākāpō Saddle
24427,Kākāpō Spur
54951,Kākāpōtahi Forest
24436,Kākāpōtahi River / Little Waitaha River
58817,Kā Kārehu-o-te-ahi-o-Tamatea
24448,Kākāriki
24444,Kākāriki
24450,Kākāriki Creek
56595,Kakī Ponds
57914,Kā mate kōhuru
58319,Kā Mauka-tokoweka
54777,Kānuka Hills
58682,Kā Onehuka
58606,Kā One-o-Pukerehe
58320,Kā Poupou-a-Rakihouia
58660,Kā Pukehore
58824,Kā Puketai
24594,Karakatūwhero River
58860,Kā Rā-o-Takitimu
14524,Kāretu Seavalleys
2400,Kārewa / Gannet Island
55579,Kārewarewa
14211,Karitāne Canyon
14212,Karitāne Channel
58830,Katiapā
2416,Kātiki
58139,Kātiki Beach
2417,Kātiki Point
55440,Kātiki Point Historic Reserve
8241,Kātiki Point Wildlife Management Reserve
2418,Kātiki Railway Station
24734,Katipō Creek
57916,Kā tū waewae o Tū
24748,Kauaeparāoa Stream / Te Paki Stream
54931,Kauri Point Birkenhead / Te Mātā-rae-o-Mana
2424,Kauri Point Pōnui
24820,Kāwaimanga Stream
55231,Kawehītiki Point
54952,Kāweka Forest
24875,Kawhātau River
59222,Kāwhia Bay
14213,Kekerengū Bank
24966,Kererūhuahua
24967,Kererūrukaipō
55036,Kererūtahi Forest
24969,Keretū
25228,Kōau Stream
25236,Kōhaihai Bluff
25237,Kōhaihai River
25235,Kōhai Stream
58623,Kōhaka Takahea
58662,Kōhakaweka
55587,Kōhaonui
59145,Kōhatu
55706,Kōhatupapā / Ranfurly Bay
25244,Kōhatu Point
25263,Kohetetū Stream
58033,Kōhinerākau
58032,Kohinurākau
25265,Kōhī Point
25293,Kohunui Māori Settlement
25302,Kōhuru Creek
25322,Kōkakonui Stream
25319,Kōkako Stream
25333,Kōkōariki
25348,Kōkopu Creek
25355,Kōkōreke Stream
25357,Kōkota / The Sandspit
25360,Kōkōwhai Bay / Turners Bay
7220,Kōmarupeka Creek
25401,Kōpae Stream
25409,Kōpakiraho Stream
25431,Kōpua
25433,Kōpua
25438,Kōpuapounamu River
25441,Kōpuaranga
25442,Kōpuaranga River
25443,Kōpuaroa
25445,Kōpuaroa Stream
25446,Kōpuaroa Stream
25449,Kōpuawhara Disaster 1938
25462,Kōpuni Stream
25531,Kōtaipapa Point
25559,Kōtiro Point
25563,Kōtoitoi Bay
58652,Kōtuku
25578,Kōtukutuku
58688,Kōtukutuku
7347,Kōtukutuku Bay
54907,Kōtukutuku Bay
54908,Kōtukutuku Stream
25582,Kōtukutuku Stream
58799,Kōura
25596,Kōurarau Dam
25597,Kōurarau Stream
54953,Kōwai Forest
25621,Kōwhai Creek
55705,Kōwhairoa Peninsula
14544,Kōwhai Seavalleys
25629,Kōwhai Stream
25646,Kūaotunu
25647,Kūaotunu Beach
25648,Kūaotunu River
2595,Kūaotunu West
7348,Kūhārua Point
59753,Kūmara Hill
25673,Kumeū
25674,Kumeū River
55406,Kura Tāwhiti Scenic Reserve
57151,Kurī
14547,Kurī Banks
25697,Kurī Creek
25714,Kurukōhatu Point
58713,Kutupārera
7293,Lake Alabaster/Wāwāhi Waka
7531,Lake Āniwaniwa
25789,Lake Ātiamuri
2672,Lake Hāwea
2671,Lake Hāwea
26028,Lake Mōkeno
55604,Lake Ngākeketo Recreation Reserve
26045,Lake Ngānoke
26060,Lake Ōhau
26063,Lake Ōkaihau
7385,Lake Ōkareka
7386,Lake Ōkataina/Te Moana i kataina ā Te Rangitakaroro
26071,Lake Ōmāpere
26070,Lake Ōmāpere
26085,Lake Ōwhareiti
26122,Lake Rāhui
7430,Lake Rotoiti/Te Roto kite ā Ihenga i ariki ai Kahu
26146,Lake Rotokākahi / Green Lake
7431,Lake Rotomā
7433,Lake Rotorua/Te Rotorua nui ā Kahumatamomoe
26230,Lake Taupō / Taupōmoana
26234,Lake Te Hāpua
54441,Lake Te Kōhua
54506,Lake Te Pōhue
26249,Lake Tīmara
54507,Lake Tūtira
26293,Lake Wānaka
58030,Lake Whatumā
54712,Little Ōnahau River
7353,Lords River/Tūtaekawetoweto
26943,Lower Kawhātau
14565,Lower Paritū Basin
7354,Lyttelton Harbour/Whakaraupō
56598,Māhaka Ponds
27139,Māhanga Bay
27141,Māhanga Creek
27142,Māhanga Stream
27143,Māhanga Stream
27153,Māheipuku Point
58647,Mahenokōhiku
27165,Māhia
27166,Māhia Beach
59096,Māhia Canyon
27167,Māhia Peninsula
54434,Māhia Seamount
54504,Māhina-a-rangi Stream
27171,Māhina Bay
27170,Māhina Bay
14576,Māhina Knoll
7357,Mahināpua Creek/Tūwharewhare
58489,Māhoenui
58377,Māhoenui
27199,Māhungarape Island / Round Island
27276,Mākahakaha Ngārara Stream
27277,Mākahakaha Stream
27278,Mākahakaha Stream
58908,Mākahakaha Stream
3023,Mākahakaha Stream
27294,Mākahikatoa Stream
3026,Mākahikātoa Stream
27296,Mākahikātoa Stream
3027,Mākahikātoa Stream
27295,Mākahikātoa Stream
27280,Mākahi Stream
27308,Mākākahi River
27315,Mākākāriki Stream
27320,Mākara
27321,Mākara
27322,Mākara Beach
27323,Mākara Hill
27337,Mākaraka
27339,Mākaraka Stream
27342,Mākaramea Stream
27343,Mākarangū Stream
27324,Mākara River
13894,Mākara River
27335,Mākara Stream
27329,Mākara Stream
27328,Mākara Stream
27334,Mākara Stream
27325,Mākara Stream
27332,Mākara Stream
27327,Mākara Stream
27331,Mākara Stream
27330,Mākara Stream
27333,Mākara Stream
27326,Mākara Stream
27349,Mākareao
27357,Makaretū Stream
55861,Makaretū Stream
27364,Mākarika Stream
7199,Mākaro / Ward Island
27381,Mākawakawa Stream
27380,Mākawakawa Stream
27394,Mākiekie / Coal Creek
54957,Mākino Forest
27413,Mākiore Stream
27414,Mākiri
27421,Mākirikiri Stream
27424,Mākirikiri Stream
32784,Mākirikiri Stream North Branch
27434,Mākōkako Stream
27446,Makōkōmuka Stream
27445,Mākōkōmuka Stream
58911,Mākōkōmuka Stream
3044,Mākōkōmuka Stream
3043,Mākōkōmuka Stream
27462,Mākorokoro Stream
27470,Mākōtukutuku Stream
27471,Mākōtukutuku Stream / Washpool Creek
27477,Mākōwhai Stream
58832,Manapōuri
58617,Manawahē
3067,Manawatāwhi / Great Island
3068,Manawatāwhi / Three Kings Islands
27567,Manawatū River
58038,Manawatū-Whanganui Region
27618,Mangahārei Stream
27642,Mangahinātore Stream
27668,Mangahoukū Stream
